/homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/pre_Tcas5.2_2.fasta to /homes/bioinfo/bionano/Trib_cast_0002_september_2014/ncbi/Tcas5.2_scaffolds.fasta
scaffold_768	scaffold_seqid706
scaffold_769	scaffold_seqid707
scaffold_770	scaffold_seqid708
scaffold_771	scaffold_seqid709
scaffold_772	scaffold_seqid710
scaffold_773	scaffold_seqid711
scaffold_774	scaffold_seqid712
scaffold_775	scaffold_seqid713
scaffold_776	scaffold_seqid714
scaffold_777	scaffold_seqid715
scaffold_778	scaffold_seqid716
scaffold_779	scaffold_seqid717
scaffold_780	scaffold_seqid718
scaffold_781	scaffold_seqid719
scaffold_782	scaffold_seqid720
scaffold_783	scaffold_seqid721
scaffold_784	scaffold_seqid722
scaffold_785	scaffold_seqid723
scaffold_786	scaffold_seqid724
scaffold_787	scaffold_seqid725
scaffold_788	scaffold_seqid726
scaffold_789	scaffold_seqid727
scaffold_790	scaffold_seqid728
scaffold_791	scaffold_seqid729
scaffold_792	scaffold_seqid730
scaffold_793	scaffold_seqid731
scaffold_794	scaffold_seqid732
scaffold_795	scaffold_seqid733
scaffold_796	scaffold_seqid734
scaffold_797	scaffold_seqid735
scaffold_798	scaffold_seqid736
scaffold_799	scaffold_seqid737
scaffold_800	scaffold_seqid738
scaffold_801	scaffold_seqid739
scaffold_802	scaffold_seqid740
scaffold_803	scaffold_seqid741
scaffold_804	scaffold_seqid742
scaffold_805	scaffold_seqid743
scaffold_806	scaffold_seqid744
scaffold_807	scaffold_seqid745
scaffold_808	scaffold_seqid746
scaffold_809	scaffold_seqid747
scaffold_810	scaffold_seqid748
scaffold_811	scaffold_seqid749
scaffold_812	scaffold_seqid750
scaffold_813	scaffold_seqid751
scaffold_814	scaffold_seqid752
scaffold_815	scaffold_seqid753
scaffold_816	scaffold_seqid754
scaffold_817	scaffold_seqid755
scaffold_818	scaffold_seqid756
scaffold_819	scaffold_seqid757
scaffold_820	scaffold_seqid758
scaffold_821	scaffold_seqid759
scaffold_822	scaffold_seqid760
scaffold_823	scaffold_seqid761
scaffold_824	scaffold_seqid762
scaffold_825	scaffold_seqid763
scaffold_826	scaffold_seqid764
scaffold_827	scaffold_seqid765
scaffold_828	scaffold_seqid766
scaffold_829	scaffold_seqid767
scaffold_830	scaffold_seqid768
scaffold_831	scaffold_seqid769
scaffold_832	scaffold_seqid770
scaffold_833	scaffold_seqid771
scaffold_835	scaffold_seqid772
scaffold_836	scaffold_seqid773
scaffold_837	scaffold_seqid774
scaffold_838	scaffold_seqid775
